1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1e-05,0.010007,0.062543,0.016608,0.96704,0.94478,1e-05,0.0093386,0.019455,0.049806,0.90247,0.83992,1e-05,0.0082977,0.0082977,0.1037,0.80188,0.68475,1e-05,0.0067946,0.0037748,0.18647,0.65662,0.48094,1e-05,0.004405,0.0013766,0.33089,0.42569,0.21777
0.0001,0.11635,0.72718,0.016462,0.9682,0.94507,0.0001,0.10865,0.22635,0.049367,0.90411,0.84109,0.0001,0.096655,0.096655,0.10279,0.80432,0.68709,0.0001,0.079309,0.04406,0.18483,0.65997,0.48449,0.0001,0.051727,0.016165,0.32798,0.43045,0.22193
0.001,1.314,8.2126,0.015403,0.97931,0.94543,0.001,1.2326,2.5679,0.046193,0.91864,0.848,0.001,1.1055,1.1055,0.096177,0.82391,0.70281,0.001,0.921,0.51167,0.17295,0.6864,0.50963,0.001,0.62634,0.19573,0.30691,0.4668,0.25283
0.005,6.8573,42.858,0.012551,1,0.93448,0.005,6.6593,13.874,0.037639,0.97113,0.85614,0.005,6.101,6.101,0.078368,0.88971,0.73685,0.005,5.2836,2.9353,0.14093,0.77051,0.57342,0.005,3.9606,1.2377,0.25012,0.57758,0.34215
0.01,13.428,83.923,0.0103,1,0.90918,0.01,13.428,27.974,0.030888,1,0.84893,0.01,12.856,12.856,0.064315,0.95746,0.75237,0.01,11.455,6.3639,0.11567,0.85309,0.61638,0.01,9.1619,2.8631,0.2053,0.68231,0.41526
0.02,25.387,158.67,0.0074133,1,0.84249,0.02,25.387,52.89,0.022233,1,0.80511,0.02,25.387,25.387,0.046296,1,0.74442,0.02,25.232,14.018,0.083268,0.9939,0.65118,0.02,21.684,6.7761,0.14782,0.85413,0.50082
0.04,45.157,282.23,0.0042398,1,0.68946,0.04,45.157,94.077,0.012716,1,0.67374,0.04,45.157,45.157,0.026482,1,0.64822,0.04,45.157,25.087,0.047638,1,0.60899,0.04,45.157,14.112,0.084597,1,0.54046
0.07,66.486,415.53,0.0019858,1,0.47231,0.07,66.486,138.51,0.0059563,1,0.46781,0.07,66.486,66.486,0.012405,1,0.4605,0.07,66.486,36.936,0.02232,1,0.44926,0.07,66.486,20.777,0.039651,1,0.42963
0.1,80.332,502.07,0.00094949,1,0.30113,0.1,80.332,167.36,0.0028482,1,0.29987,0.1,80.332,80.332,0.0059326,1,0.29782,0.1,80.332,44.629,0.010676,1,0.29466,0.1,80.332,25.104,0.01897,1,0.28915
0.16,94.034,587.71,0.00020909,1,0.10212,0.16,94.034,195.9,0.00062725,1,0.10204,0.16,94.034,94.034,0.0013067,1,0.1019,0.16,94.034,52.241,0.0023518,1,0.10169,0.16,94.034,29.386,0.0041803,1,0.10132
