1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1e-05,0.0052219,0.0020888,0.1037,0.50464,0.27162,1e-05,0.0071937,0.0046759,0.1037,0.69519,0.51514,1e-05,0.0082977,0.0082977,0.1037,0.80188,0.68475,1e-05,0.0089818,0.013473,0.1037,0.86798,0.80107,1e-05,0.0095293,0.023823,0.1037,0.9209,0.89891
0.0001,0.061196,0.024478,0.10279,0.50925,0.2759,0.0001,0.083922,0.054549,0.10279,0.69836,0.51854,0.0001,0.096655,0.096655,0.10279,0.80432,0.68709,0.0001,0.10453,0.1568,0.10279,0.86987,0.80255,0.0001,0.11084,0.2771,0.10279,0.92236,0.89962
0.001,0.73018,0.29207,0.096177,0.54419,0.30728,0.001,0.97063,0.63091,0.096177,0.72339,0.54249,0.001,1.1055,1.1055,0.096177,0.82391,0.70281,0.001,1.1892,1.7838,0.096177,0.88629,0.81185,0.001,1.2569,3.1421,0.096177,0.93671,0.90331
0.005,4.4557,1.7823,0.078368,0.64978,0.39485,0.005,5.5063,3.5791,0.078368,0.80298,0.60186,0.005,6.101,6.101,0.078368,0.88971,0.73685,0.005,6.4785,9.7178,0.078368,0.94476,0.82735,0.005,6.8033,17.008,0.078368,0.99213,0.90365
0.01,10.043,4.0172,0.064315,0.74792,0.46302,0.01,11.828,7.6881,0.064315,0.88086,0.64006,0.01,12.856,12.856,0.064315,0.95746,0.75237,0.01,13.428,20.141,0.064315,1,0.82736,0.01,13.428,33.569,0.064315,1,0.89044
0.03,35.911,14.364,0.034673,1,0.56313,0.03,35.911,23.342,0.034673,1,0.65179,0.03,35.911,35.911,0.034673,1,0.70392,0.03,35.911,53.866,0.034673,1,0.73964,0.03,35.911,89.776,0.034673,1,0.77585
0.07,66.486,26.594,0.012405,1,0.42635,0.07,66.486,43.216,0.012405,1,0.44613,0.07,66.486,66.486,0.012405,1,0.4605,0.07,66.486,99.728,0.012405,1,0.47405,0.07,66.486,166.21,0.012405,1,0.49551
0.1,80.332,32.133,0.0059326,1,0.28324,0.1,80.332,52.216,0.0059326,1,0.29083,0.1,80.332,80.332,0.0059326,1,0.29782,0.1,80.332,120.5,0.0059326,1,0.30605,0.1,80.332,200.83,0.0059326,1,0.32168
0.14,90.95,36.38,0.0021847,1,0.14375,0.14,90.95,59.118,0.0021847,1,0.14641,0.14,90.95,90.95,0.0021847,1,0.1496,0.14,90.95,136.43,0.0021847,1,0.15401,0.14,90.95,227.38,0.0021847,1,0.16323
0.2,97.551,39.02,0.00044996,1,0.042306,0.2,97.551,63.408,0.00044996,1,0.043012,0.2,97.551,97.551,0.00044996,1,0.044004,0.2,97.551,146.33,0.00044996,1,0.045483,0.2,97.551,243.88,0.00044996,1,0.048709
