1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1e-05,0.0021059,0.0021059,0.015415,0.9693,0.94869,1e-05,0.0061027,0.0061027,0.053629,0.89514,0.8283,1e-05,0.0082977,0.0082977,0.1037,0.80188,0.68475,1e-05,0.0075484,0.0075484,0.191,0.64893,0.47094,1e-05,0.0035596,0.0035596,0.31567,0.44882,0.24029
0.0001,0.02126,0.02126,0.015381,0.96954,0.94877,0.0001,0.064898,0.064898,0.0533,0.89624,0.8292,0.0001,0.096655,0.096655,0.10279,0.80432,0.68709,0.0001,0.1068,0.1068,0.1891,0.65302,0.47501,0.0001,0.072499,0.072499,0.31319,0.45322,0.24402
0.001,0.21325,0.21325,0.015139,0.97156,0.94916,0.001,0.67931,0.67931,0.051042,0.90521,0.83458,0.001,1.1055,1.1055,0.096177,0.82391,0.70281,0.001,1.4897,1.4897,0.17276,0.6911,0.509,0.001,1.4885,1.4885,0.28243,0.51166,0.29152
0.005,1.0648,1.0648,0.0144,0.97937,0.94931,0.005,3.4865,3.4865,0.044818,0.93634,0.84482,0.005,6.101,6.101,0.078368,0.88971,0.73685,0.005,9.7793,9.7793,0.12708,0.82434,0.5946,0.005,13.997,13.997,0.18344,0.75409,0.45126
0.01,2.1302,2.1302,0.013704,0.98828,0.94835,0.01,7.0736,7.0736,0.039588,0.96936,0.848,0.01,12.856,12.856,0.064315,0.95746,0.75237,0.01,22.479,22.479,0.093124,0.96252,0.6379,0.01,36.956,36.956,0.11362,1,0.5363
0.03,6.3107,6.3107,0.011732,1,0.9396,0.03,20.319,20.319,0.027107,1,0.82281,0.03,35.911,35.911,0.034673,1,0.70392,0.03,58.181,58.181,0.033159,1,0.5217,0.03,80.899,80.899,0.019893,1,0.28272
0.07,14.226,14.226,0.0091878,1,0.90979,0.07,41.708,41.708,0.014932,1,0.69979,0.07,66.486,66.486,0.012405,1,0.4605,0.07,89.599,89.599,0.0050411,1,0.16853,0.07,98.918,98.918,0.00061727,1,0.019907
0.1,19.886,19.886,0.0078154,1,0.88139,0.1,54.499,54.499,0.0099565,1,0.59158,0.1,80.332,80.332,0.0059326,1,0.29782,0.1,96.804,96.804,0.0011988,1,0.056324,0.1,99.904,99.904,4.0743e-05,1,0.0018629
0.14,27.108,27.108,0.0063758,1,0.83831,0.14,67.997,67.997,0.005878,1,0.45229,0.14,90.95,90.95,0.0021847,1,0.1496,0.14,99.432,99.432,0.00016277,1,0.010662,0.14,99.997,99.997,-3.255e-06,1,6.0913e-05
0.2,37.295,37.295,0.0047441,1,0.76601,0.2,82.103,82.103,0.0026354,1,0.27815,0.2,97.551,97.551,0.00044996,1,0.044004,0.2,99.968,99.968,6.569e-06,1,0.00063105,0.2,100,100,-0.027183,1,1.3966e-07
