1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1e-05,0.043277,0.043277,0.10064,0.95245,0.9551,1e-05,0.019612,0.019612,0.10183,0.90302,0.86474,1e-05,0.0082977,0.0082977,0.1037,0.80188,0.68475,1e-05,0.0029008,0.0029008,0.10674,0.59091,0.37295,1e-05,0.0004919,0.0004919,0.11094,0.19829,0.04211
5e-05,0.23804,0.23804,0.099169,0.95496,0.95548,5e-05,0.1086,0.1086,0.10103,0.90448,0.8656,5e-05,0.046252,0.046252,0.10327,0.80298,0.68585,5e-05,0.01628,0.01628,0.10652,0.59183,0.37391,5e-05,0.002787,0.002787,0.11081,0.19916,0.042463
0.0001,0.49378,0.49378,0.097576,0.95807,0.95576,0.0001,0.2261,0.2261,0.10014,0.90631,0.86651,0.0001,0.096655,0.096655,0.10279,0.80432,0.68709,0.0001,0.034157,0.034157,0.10625,0.59293,0.37504,0.0001,0.0058886,0.0058886,0.11067,0.2002,0.04289
0.0002,1.0215,1.0215,0.094805,0.96429,0.95598,0.0002,0.46947,0.46947,0.098539,0.90973,0.86803,0.0002,0.20159,0.20159,0.10189,0.80676,0.68934,0.0002,0.071612,0.071612,0.10576,0.59503,0.37716,0.0002,0.012478,0.012478,0.11039,0.20218,0.043715
0.0004,2.1084,2.1084,0.090173,0.97632,0.95567,0.0004,0.97237,0.97237,0.095752,0.91626,0.87037,0.0004,0.41979,0.41979,0.10027,0.8114,0.69328,0.0004,0.15013,0.15013,0.10485,0.59897,0.38108,0.0004,0.026609,0.026609,0.10985,0.20595,0.045291
0.0007,3.784,3.784,0.08448,0.99396,0.95415,0.0007,1.7479,1.7479,0.092171,0.92554,0.87286,0.0007,0.75833,0.75833,0.098117,0.81781,0.69837,0.0007,0.27315,0.27315,0.1036,0.60446,0.38644,0.0007,0.049459,0.049459,0.10911,0.21126,0.047548
0.001,5.4364,5.4364,0.079697,1,0.95177,0.001,2.5391,2.5391,0.089042,0.93433,0.87457,0.001,1.1055,1.1055,0.096177,0.82391,0.70281,0.001,0.40042,0.40042,0.10244,0.60962,0.39139,0.001,0.073874,0.073874,0.1084,0.21628,0.049723
0.0015,8.1006,8.1006,0.073007,1,0.94614,0.0015,3.8817,3.8817,0.084489,0.9483,0.87627,0.0015,1.6972,1.6972,0.093266,0.83337,0.70923,0.0015,0.6195,0.6195,0.10066,0.61768,0.39901,0.0015,0.11751,0.11751,0.1073,0.22421,0.053229
0.002,10.696,10.696,0.067407,1,0.93897,0.002,5.2474,5.2474,0.080519,0.96173,0.87694,0.002,2.3016,2.3016,0.090647,0.84235,0.71474,0.002,0.84561,0.84561,0.099023,0.62531,0.40604,0.002,0.16437,0.16437,0.10626,0.2317,0.056632
0.0025,13.224,13.224,0.062577,1,0.93061,0.0025,6.6319,6.6319,0.076974,0.97473,0.87685,0.0025,2.9161,2.9161,0.088246,0.85089,0.71956,0.0025,1.0775,1.0775,0.097488,0.63251,0.41261,0.0025,0.21418,0.21418,0.10527,0.23888,0.05996
0.003,15.684,15.684,0.05833,1,0.9213,0.003,8.0328,8.0328,0.073762,0.98743,0.87616,0.003,3.5391,3.5391,0.08602,0.85907,0.72383,0.003,1.3145,1.3145,0.096038,0.6394,0.41881,0.003,0.2667,0.2667,0.10433,0.24576,0.06323
0.0035,18.08,18.08,0.054545,1,0.91121,0.0035,9.449,9.449,0.070818,0.99994,0.87497,0.0035,4.1699,4.1699,0.083938,0.86707,0.72764,0.0035,1.5562,1.5562,0.094661,0.64612,0.42469,0.0035,0.32181,0.32181,0.10342,0.25243,0.066453
0.004,20.412,20.412,0.051137,1,0.90048,0.004,10.747,10.747,0.0681,1,0.87328,0.004,4.8073,4.8073,0.081979,0.87476,0.73104,0.004,1.802,1.802,0.093346,0.65253,0.4303,0.004,0.37934,0.37934,0.10254,0.25888,0.069635
0.005,24.895,24.895,0.045223,1,0.87744,0.005,13.292,13.292,0.063213,1,0.86839,0.005,6.101,6.101,0.078368,0.88971,0.73685,0.005,2.3054,2.3054,0.090874,0.66492,0.44082,0.005,0.50134,0.50134,0.10087,0.27129,0.075897
0.006,29.146,29.146,0.040245,1,0.85281,0.006,15.771,15.771,0.058914,1,0.86187,0.006,7.4165,7.4165,0.075092,0.90405,0.74155,0.006,2.8228,2.8228,0.088578,0.6767,0.45054,0.006,0.63201,0.63201,0.099286,0.28311,0.082046
0.007,33.179,33.179,0.035985,1,0.82703,0.007,18.185,18.185,0.05508,1,0.85403,0.007,8.7513,8.7513,0.072088,0.91791,0.74532,0.007,3.353,3.353,0.086429,0.68799,0.4596,0.007,0.7708,0.7708,0.097783,0.29445,0.088099
0.008,37.005,37.005,0.032296,1,0.80043,0.008,20.537,20.537,0.051628,1,0.84512,0.008,10.104,10.104,0.069311,0.9314,0.74832,0.008,3.8948,3.8948,0.084404,0.69885,0.46807,0.008,0.91733,0.91733,0.096348,0.30539,0.094065
0.009,40.634,40.634,0.029073,1,0.77329,0.009,22.827,22.827,0.048494,1,0.83532,0.009,11.472,11.472,0.066729,0.94452,0.75064,0.009,4.4477,4.4477,0.082487,0.70941,0.47604,0.009,1.0711,1.0711,0.094971,0.31595,0.099953
0.01,44.076,44.076,0.026235,1,0.74582,0.01,25.059,25.059,0.045632,1,0.82477,0.01,12.856,12.856,0.064315,0.95746,0.75237,0.01,5.0105,5.0105,0.080666,0.7196,0.48354,0.01,1.2318,1.2318,0.093647,0.32617,0.10577
0.011,47.34,47.34,0.023723,1,0.7182,0.011,27.233,27.233,0.043005,1,0.8136,0.011,14.254,14.254,0.062049,0.97009,0.75358,0.011,5.5826,5.5826,0.078929,0.72949,0.49063,0.011,1.3994,1.3994,0.092371,0.33615,0.11151
0.012,50.434,50.434,0.021488,1,0.69061,0.012,29.35,29.35,0.040582,1,0.80191,0.012,15.666,15.666,0.059915,0.9826,0.75432,0.012,6.1643,6.1643,0.077268,0.7392,0.49734,0.012,1.5733,1.5733,0.091138,0.34586,0.11719
0.013,53.366,53.366,0.019491,1,0.66315,0.013,31.413,31.413,0.03834,1,0.78978,0.013,17.09,17.09,0.057898,0.99493,0.75464,0.013,6.7544,6.7544,0.075676,0.74866,0.5037,0.013,1.7535,1.7535,0.089945,0.35532,0.12281
0.014,56.143,56.143,0.017701,1,0.63596,0.014,33.423,33.423,0.036259,1,0.77727,0.014,18.395,18.395,0.055988,1,0.75454,0.014,7.3528,7.3528,0.074148,0.75793,0.50974,0.014,1.9396,1.9396,0.088787,0.36456,0.12836
0.015,58.773,58.773,0.016093,1,0.60911,0.015,35.381,35.381,0.034322,1,0.76446,0.015,19.598,19.598,0.054174,1,0.75393,0.015,7.9591,7.9591,0.072677,0.76703,0.51548,0.015,2.1317,2.1317,0.087664,0.37363,0.13385
0.016,61.262,61.262,0.014644,1,0.5827,0.016,37.289,37.289,0.032515,1,0.7514,0.016,20.785,20.785,0.052448,1,0.75284,0.016,8.5727,8.5727,0.07126,0.77594,0.52093,0.016,2.3292,2.3292,0.086572,0.38248,0.13928
0.017,63.617,63.617,0.013336,1,0.55679,0.017,39.146,39.146,0.030825,1,0.73814,0.017,21.958,21.958,0.050804,1,0.75131,0.017,9.194,9.194,0.069893,0.78473,0.52611,0.017,2.5323,2.5323,0.085509,0.39117,0.14466
0.018,65.844,65.844,0.012152,1,0.53144,0.018,40.956,40.956,0.029242,1,0.72471,0.018,23.116,23.116,0.049234,1,0.74937,0.018,9.8217,9.8217,0.068571,0.79333,0.53105,0.018,2.7407,2.7407,0.084474,0.39972,0.14997
0.019,67.949,67.949,0.01108,1,0.50671,0.019,42.719,42.719,0.027756,1,0.71116,0.019,24.259,24.259,0.047733,1,0.74707,0.019,10.456,10.456,0.067293,0.80182,0.53575,0.019,2.9543,2.9543,0.083464,0.40811,0.15522
0.02,69.937,69.937,0.010108,1,0.48262,0.02,44.435,44.435,0.02636,1,0.69752,0.02,25.387,25.387,0.046296,1,0.74442,0.02,11.097,11.097,0.066055,0.81018,0.54022,0.02,3.1729,3.1729,0.082479,0.41635,0.16042
0.021,71.814,71.814,0.0092247,1,0.45922,0.021,46.107,46.107,0.025047,1,0.68381,0.021,26.501,26.501,0.044919,1,0.74145,0.021,11.745,11.745,0.064855,0.81848,0.54448,0.021,3.3965,3.3965,0.081517,0.42447,0.16556
0.022,73.586,73.586,0.0084217,1,0.43652,0.022,47.735,47.735,0.023809,1,0.67008,0.022,27.601,27.601,0.043598,1,0.73819,0.022,12.398,12.398,0.063691,0.8266,0.54854,0.022,3.6249,3.6249,0.080577,0.43246,0.17065
0.023,75.257,75.257,0.007691,1,0.41456,0.023,49.32,49.32,0.022642,1,0.65634,0.023,28.687,28.687,0.042328,1,0.73466,0.023,13.057,13.057,0.062561,0.83466,0.5524,0.023,3.8579,3.8579,0.079657,0.44034,0.17568
0.024,76.833,76.833,0.0070256,1,0.39333,0.024,50.863,50.863,0.021539,1,0.64261,0.024,29.759,29.759,0.041108,1,0.73088,0.024,13.723,13.723,0.061462,0.84265,0.55607,0.024,4.0954,4.0954,0.078757,0.44809,0.18065
0.025,78.317,78.317,0.0064191,1,0.37286,0.025,52.365,52.365,0.020497,1,0.62892,0.025,30.818,30.818,0.039935,1,0.72688,0.025,14.393,14.393,0.060394,0.85052,0.55957,0.025,4.3376,4.3376,0.077877,0.45575,0.18557
0.026,79.715,79.715,0.0058661,1,0.35315,0.026,53.826,53.826,0.019512,1,0.61528,0.026,31.863,31.863,0.038804,1,0.72265,0.026,15.07,15.07,0.059355,0.85834,0.56289,0.026,4.5839,4.5839,0.077014,0.46329,0.19043
0.028,82.27,82.27,0.0049011,1,0.316,0.028,56.634,56.634,0.017696,1,0.58822,0.028,33.913,33.913,0.036665,1,0.71363,0.028,16.438,16.438,0.057356,0.87372,0.56906,0.028,5.0898,5.0898,0.075339,0.47812,0.2
0.03,84.528,84.528,0.0040965,1,0.28185,0.03,59.291,59.291,0.016064,1,0.56156,0.03,35.911,35.911,0.034673,1,0.70392,0.03,17.825,17.825,0.055458,0.88879,0.57462,0.03,5.612,5.612,0.073728,0.49258,0.20935
0.035,89.072,89.072,0.0026182,1,0.20901,0.035,65.324,65.324,0.012653,1,0.49721,0.035,40.685,40.685,0.030248,1,0.67729,0.035,21.376,21.376,0.051095,0.9256,0.58611,0.035,6.9862,6.9862,0.069946,0.52744,0.2318
0.04,92.356,92.356,0.0016727,1,0.15239,0.04,70.56,70.56,0.0099997,1,0.43695,0.04,45.157,45.157,0.026482,1,0.64822,0.04,25.034,25.034,0.047199,0.96124,0.59462,0.04,8.4515,8.4515,0.066471,0.56064,0.25297
0.045,94.701,94.701,0.0010671,1,0.10945,0.045,75.088,75.088,0.0079189,1,0.38139,0.045,49.343,49.343,0.023248,1,0.61759,0.045,28.788,28.788,0.043692,0.99597,0.60055,0.045,10.001,10.001,0.063258,0.59247,0.2729
0.05,96.358,96.358,0.00067927,1,0.077557,0.05,78.989,78.989,0.0062785,1,0.3308,0.05,53.259,53.259,0.020452,1,0.58611,0.05,31.679,31.679,0.040516,1,0.60378,0.05,11.629,11.629,0.06027,0.62317,0.29162
0.06,98.318,98.318,0.00027311,1,0.037607,0.06,85.2,85.2,0.003951,1,0.24461,0.06,60.334,60.334,0.015899,1,0.52255,0.06,36.975,36.975,0.034981,1,0.60168,0.06,15.099,15.099,0.054868,0.6817,0.32562
0.07,99.245,99.245,0.00010857,1,0.017532,0.07,89.707,89.707,0.0024834,1,0.17715,0.07,66.486,66.486,0.012405,1,0.4605,0.07,41.949,41.949,0.030325,1,0.59086,0.07,18.826,18.826,0.0501,0.73718,0.35529
0.08,99.669,99.669,4.2652e-05,1,0.0079102,0.08,92.93,92.93,0.0015559,1,0.12592,0.08,71.811,71.811,0.0096983,1,0.40174,0.08,46.613,46.613,0.026362,1,0.57375,0.08,22.789,22.789,0.045848,0.79047,0.38094
0.09,99.858,99.858,1.6562e-05,1,0.0034706,0.09,95.2,95.2,0.00097049,1,0.088004,0.09,76.399,76.399,0.0075865,1,0.34733,0.09,50.982,50.982,0.022963,1,0.55214,0.09,26.962,26.962,0.04203,0.84192,0.40286
0.1,99.94,99.94,6.3119e-06,1,0.0014859,0.1,96.778,96.778,0.00060221,1,0.060554,0.1,80.332,80.332,0.0059326,1,0.29782,0.1,55.069,55.069,0.020029,1,0.52738,0.1,31.329,31.329,0.038581,0.89197,0.42133
0.11,99.975,99.975,2.4114e-06,1,0.00062222,0.11,97.861,97.861,0.00037157,1,0.041074,0.11,83.686,83.686,0.0046344,1,0.25339,0.11,58.885,58.885,0.017484,1,0.50052,0.11,35.876,35.876,0.035449,0.94098,0.43662
0.12,99.99,99.99,8.7767e-07,1,0.00025536,0.12,98.595,98.595,0.0002279,1,0.027492,0.12,86.532,86.532,0.0036146,1,0.21403,0.12,62.444,62.444,0.015268,1,0.47237,0.12,40.593,40.593,0.032596,0.9892,0.44897
0.13,99.996,99.996,-6.3884e-05,1,0.00010279,0.13,99.086,99.086,0.00013892,1,0.018174,0.13,88.934,88.934,0.0028135,1,0.17954,0.13,65.757,65.757,0.013334,1,0.44356,0.13,43.853,43.853,0.029988,1,0.45807
0.14,99.998,99.998,-4.472e-05,1,4.1285e-05,0.14,99.411,99.411,8.4142e-05,1,0.011874,0.14,90.95,90.95,0.0021847,1,0.1496,0.14,68.835,68.835,0.011643,1,0.4146,0.14,46.579,46.579,0.027597,1,0.4631
0.15,100,100,-0.076331,1,4.4383e-06,0.15,99.624,99.624,5.0636e-05,1,0.0076715,0.15,92.635,92.635,0.001692,1,0.12385,0.15,71.691,71.691,0.010162,1,0.3859,0.15,49.214,49.214,0.025402,1,0.46461
