1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1e-05,0.0099222,0.020759,0.95886,0.93127,1e-05,0.0090935,0.062248,0.87878,0.80246,1e-05,0.0079119,0.12441,0.76459,0.62993,1e-05,0.0057354,0.24843,0.55426,0.35419,1e-05,0.0031567,0.41316,0.30505,0.1163
5e-05,0.055262,0.020674,0.95941,0.93147,5e-05,0.050667,0.061994,0.87964,0.80315,5e-05,0.044107,0.1239,0.76575,0.63119,5e-05,0.032033,0.24742,0.55612,0.35607,5e-05,0.017717,0.41147,0.30759,0.11804
0.0001,0.11537,0.020576,0.96008,0.93168,0.0001,0.10582,0.061701,0.88062,0.80393,0.0001,0.092195,0.12331,0.76721,0.63263,0.0001,0.067089,0.24625,0.55829,0.35822,0.0001,0.037315,0.40953,0.31052,0.12006
0.0002,0.24024,0.020396,0.96143,0.932,0.0002,0.22053,0.061161,0.88257,0.80531,0.0002,0.19239,0.12223,0.76996,0.63525,0.0002,0.14052,0.2441,0.56235,0.36219,0.0002,0.078948,0.40595,0.31595,0.1238
0.0004,0.49876,0.020073,0.96405,0.93244,0.0004,0.4585,0.06019,0.88623,0.80766,0.0004,0.40097,0.12029,0.77502,0.63986,0.0004,0.29477,0.24023,0.56976,0.36932,0.0004,0.16857,0.39951,0.32584,0.13067
0.0007,0.8975,0.019642,0.9679,0.93279,0.0007,0.82658,0.058898,0.89142,0.8106,0.0007,0.72516,0.11771,0.78204,0.64587,0.0007,0.53775,0.23507,0.57993,0.37883,0.0007,0.31456,0.39095,0.33923,0.14007
0.001,1.3037,0.019253,0.97162,0.9329,0.001,1.2027,0.057734,0.89636,0.81307,0.001,1.0582,0.11539,0.78864,0.65116,0.001,0.7907,0.23043,0.58929,0.38741,0.001,0.47168,0.38322,0.35153,0.1488
0.0015,1.9911,0.018671,0.97766,0.93271,0.0015,1.8414,0.055986,0.90417,0.81646,0.0015,1.627,0.11189,0.79889,0.65889,0.0015,1.2295,0.22345,0.60373,0.40032,0.0015,0.75427,0.37164,0.37036,0.16233
0.002,2.6872,0.018146,0.98346,0.93217,0.002,2.4909,0.054413,0.91162,0.8192,0.002,2.2092,0.10875,0.80853,0.6656,0.002,1.6862,0.21718,0.61713,0.41195,0.002,1.0594,0.36121,0.38773,0.17495
0.0025,3.3901,0.017665,0.9892,0.93137,0.0025,3.1489,0.052972,0.91882,0.82144,0.0025,2.8025,0.10587,0.81775,0.67156,0.0025,2.1583,0.21143,0.62976,0.4226,0.0025,1.3846,0.35165,0.40402,0.18686
0.003,4.098,0.01722,0.99475,0.93036,0.003,3.8139,0.051636,0.92578,0.82327,0.003,3.405,0.1032,0.82654,0.6769,0.003,2.6439,0.2061,0.64178,0.43246,0.003,1.7279,0.34279,0.41943,0.1982
0.0035,4.8093,0.016803,1,0.92918,0.0035,4.4849,0.050386,0.93256,0.82477,0.0035,4.0161,0.1007,0.83508,0.68172,0.0035,3.142,0.20111,0.65332,0.44166,0.0035,2.0881,0.3345,0.43417,0.20904
0.004,5.4956,0.016411,1,0.92782,0.004,5.1612,0.04921,0.93915,0.82598,0.004,4.6345,0.098352,0.84332,0.68611,0.004,3.6511,0.19642,0.66437,0.45029,0.004,2.4637,0.32671,0.4483,0.21944
0.005,6.8573,0.015688,1,0.92461,0.005,6.5283,0.047042,0.95203,0.82767,0.005,5.8922,0.09402,0.85925,0.69375,0.005,4.701,0.18777,0.68555,0.46607,0.005,3.2581,0.31233,0.47513,0.2391
0.006,8.2036,0.015032,1,0.92083,0.006,7.9122,0.045075,0.96448,0.82856,0.006,7.1737,0.09009,0.87445,0.70016,0.006,5.7882,0.17993,0.70557,0.4802,0.006,4.1051,0.29929,0.5004,0.25742
0.007,9.534,0.01443,1,0.91658,0.007,9.3111,0.043272,0.97662,0.82879,0.007,8.4772,0.086486,0.88916,0.70554,0.007,6.9096,0.17273,0.72473,0.49296,0.007,4.9995,0.28733,0.52438,0.27458
0.008,10.848,0.013874,1,0.91194,0.008,10.724,0.041605,0.98853,0.82846,0.008,9.8,0.083155,0.90338,0.71004,0.008,8.0613,0.16608,0.7431,0.50452,0.008,5.9375,0.27628,0.54733,0.29069
0.009,12.146,0.013357,1,0.90695,0.009,12.146,0.040054,1,0.82766,0.009,11.141,0.080057,0.9173,0.71379,0.009,9.2422,0.1599,0.76093,0.51503,0.009,6.9163,0.26599,0.56943,0.30584
0.01,13.428,0.012874,1,0.90165,0.01,13.428,0.038605,1,0.82635,0.01,12.499,0.077161,0.93085,0.71688,0.01,10.449,0.15412,0.77814,0.52461,0.01,7.9329,0.25638,0.59079,0.32012
0.011,14.693,0.01242,1,0.89609,0.011,14.693,0.037245,1,0.8245,0.011,13.873,0.074443,0.94415,0.71937,0.011,11.681,0.14869,0.79498,0.53335,0.011,8.9842,0.24736,0.61145,0.33358
0.012,15.943,0.011993,1,0.89029,0.012,15.943,0.035964,1,0.82218,0.012,15.262,0.071882,0.95728,0.72134,0.012,12.935,0.14358,0.81134,0.54133,0.012,10.069,0.23886,0.63159,0.34628
