1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1e-05,0.042864,0.12077,0.94336,0.94639,1e-05,0.019213,0.12219,0.88464,0.83932,1e-05,0.0079119,0.12441,0.76459,0.62993,1e-05,0.0025238,0.128,0.51413,0.28585,1e-05,0.00012164,0.13289,0.049034,0.0026083
5e-05,0.23581,0.119,0.94598,0.94689,5e-05,0.10642,0.12123,0.88629,0.84037,5e-05,0.044107,0.1239,0.76575,0.63119,5e-05,0.014171,0.12773,0.51517,0.28686,5e-05,0.00070001,0.13274,0.050022,0.0027138
0.0001,0.48921,0.11709,0.94922,0.9473,0.0001,0.22158,0.12016,0.88818,0.84148,0.0001,0.092195,0.12331,0.76721,0.63263,0.0001,0.02975,0.12741,0.51642,0.28804,0.0001,0.0015065,0.13257,0.051216,0.0028438
0.0002,1.0122,0.11376,0.95557,0.94775,0.0002,0.46024,0.11824,0.89185,0.84337,0.0002,0.19239,0.12223,0.76996,0.63525,0.0002,0.062437,0.12682,0.5188,0.29028,0.0002,0.0033024,0.13223,0.053509,0.0031013
0.0004,2.0902,0.1082,0.9679,0.94784,0.0004,0.95378,0.11489,0.89874,0.84635,0.0004,0.40097,0.12029,0.77502,0.63986,0.0004,0.13115,0.12573,0.52325,0.29441,0.0004,0.0074728,0.13159,0.057838,0.0036179
0.0007,3.7531,0.10137,0.98584,0.9468,0.0007,1.7157,0.1106,0.90845,0.8497,0.0007,0.72516,0.11771,0.78204,0.64587,0.0007,0.23925,0.12423,0.52945,0.30008,0.0007,0.014967,0.1307,0.063931,0.0044103
0.001,5.4364,0.095634,1,0.94488,0.001,2.4938,0.10684,0.91766,0.85217,0.001,1.0582,0.11539,0.78864,0.65116,0.001,0.35157,0.12284,0.53525,0.30535,0.001,0.023803,0.12985,0.069687,0.0052278
0.0015,8.1006,0.087607,1,0.94001,0.0015,3.816,0.10138,0.93225,0.85499,0.0015,1.627,0.11189,0.79889,0.65889,0.0015,0.54589,0.12071,0.54428,0.31349,0.0015,0.041272,0.12853,0.078751,0.0066501
0.002,10.696,0.080887,1,0.93347,0.002,5.1625,0.096615,0.94617,0.85666,0.002,2.2092,0.10875,0.80853,0.6656,0.002,0.74752,0.11874,0.55276,0.32105,0.002,0.061943,0.12728,0.087318,0.0081435
0.0025,13.224,0.075091,1,0.92564,0.0025,6.5289,0.092363,0.95959,0.85747,0.0025,2.8025,0.10587,0.81775,0.67156,0.0025,0.95542,0.1169,0.56085,0.32815,0.0025,0.085624,0.1261,0.095497,0.0097022
0.003,15.684,0.069994,1,0.9168,0.003,7.9131,0.088508,0.97272,0.85761,0.003,3.405,0.1032,0.82654,0.6769,0.003,1.1688,0.11516,0.56854,0.33489,0.003,0.11216,0.12497,0.10336,0.011321
0.0035,18.08,0.065452,1,0.90713,0.0035,9.3134,0.084976,0.9856,0.85719,0.0035,4.0161,0.1007,0.83508,0.68172,0.0035,1.3873,0.11351,0.57599,0.34131,0.0035,0.14144,0.12388,0.11095,0.012994
0.004,20.412,0.061364,1,0.89676,0.004,10.729,0.081714,0.99829,0.8563,0.004,4.6345,0.098352,0.84332,0.68611,0.004,1.6104,0.11194,0.58316,0.34746,0.004,0.17335,0.12283,0.1183,0.014717
0.005,24.895,0.054267,1,0.87434,0.005,13.292,0.07585,1,0.85308,0.005,5.8922,0.09402,0.85925,0.69375,0.005,2.0694,0.10897,0.59686,0.35906,0.005,0.24469,0.12083,0.13241,0.018296
