1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1e-05,0.0020928,0.018487,0.96326,0.93866,1e-05,0.0059641,0.064332,0.87482,0.79629,1e-05,0.0079119,0.12441,0.76459,0.62993,1e-05,0.0068114,0.22916,0.58557,0.39133,1e-05,0.0028125,0.37875,0.35461,0.15467
5e-05,0.010539,0.018468,0.96332,0.93871,5e-05,0.031181,0.064145,0.87543,0.7968,5e-05,0.044107,0.1239,0.76575,0.63119,5e-05,0.043554,0.22815,0.58752,0.39329,5e-05,0.023239,0.37757,0.35654,0.15608
0.0001,0.021128,0.018446,0.9635,0.93876,0.0001,0.063435,0.063937,0.87604,0.79736,0.0001,0.092195,0.12331,0.76721,0.63263,0.0001,0.096506,0.22688,0.59006,0.39576,0.0001,0.057497,0.37578,0.35944,0.15823
0.0002,0.042327,0.018407,0.96375,0.93885,0.0002,0.12887,0.063563,0.87726,0.79834,0.0002,0.19239,0.12223,0.76996,0.63525,0.0002,0.21356,0.22439,0.59506,0.40057,0.0002,0.14245,0.37183,0.36594,0.16299
0.0004,0.084744,0.018337,0.96423,0.93899,0.0004,0.26145,0.062899,0.87958,0.80001,0.0004,0.40097,0.12029,0.77502,0.63986,0.0004,0.4729,0.2197,0.6048,0.40962,0.0004,0.35566,0.36351,0.37988,0.17323
0.0007,0.14835,0.018243,0.9649,0.93917,0.0007,0.46235,0.06202,0.88275,0.80214,0.0007,0.72516,0.11771,0.78204,0.64587,0.0007,0.90088,0.21322,0.61865,0.42208,0.0007,0.75449,0.35099,0.40146,0.18909
0.001,0.21193,0.018156,0.96558,0.9393,0.001,0.6647,0.061229,0.88574,0.80397,0.001,1.0582,0.11539,0.78864,0.65116,0.001,1.3618,0.20728,0.63177,0.43349,0.001,1.2307,0.33888,0.42303,0.20497
0.0015,0.31785,0.018023,0.96667,0.93949,0.0015,1.004,0.060036,0.89044,0.8066,0.0015,1.627,0.11189,0.79889,0.65889,0.0015,2.1861,0.19826,0.65253,0.4507,0.0015,2.1724,0.31985,0.4584,0.23087
0.002,0.42371,0.017899,0.96771,0.93963,0.002,1.3454,0.058956,0.8949,0.80885,0.002,2.2092,0.10875,0.80853,0.6656,0.002,3.0673,0.19012,0.67212,0.46612,0.002,3.2791,0.30226,0.49286,0.25577
0.0025,0.52954,0.017783,0.96875,0.93973,0.0025,1.6883,0.057958,0.89917,0.8108,0.0025,2.8025,0.10587,0.81775,0.67156,0.0025,3.9964,0.18267,0.6908,0.48009,0.0025,4.5352,0.28599,0.52643,0.27947
0.003,0.63533,0.017672,0.96973,0.93981,0.003,2.0324,0.057026,0.90326,0.81253,0.003,3.405,0.1032,0.82654,0.6769,0.003,4.9677,0.17579,0.7088,0.49282,0.003,5.928,0.2709,0.55914,0.30192
0.0035,0.74112,0.017566,0.9707,0.93987,0.0035,2.378,0.056148,0.90729,0.81408,0.0035,4.0161,0.1007,0.83508,0.68172,0.0035,5.9769,0.16939,0.7262,0.50448,0.0035,7.4484,0.25687,0.59119,0.32306
0.004,0.84691,0.017464,0.97168,0.93991,0.004,2.7246,0.055315,0.91119,0.81546,0.004,4.6345,0.098352,0.84332,0.68611,0.004,7.0202,0.1634,0.74304,0.51518,0.004,9.087,0.24378,0.62256,0.3429
0.005,1.0586,0.01727,0.97363,0.93994,0.005,3.421,0.053763,0.91876,0.81781,0.005,5.8922,0.09402,0.85925,0.69375,0.005,9.2,0.15247,0.77551,0.53407,0.005,12.69,0.2201,0.68365,0.37869
0.006,1.2703,0.017087,0.97552,0.93992,0.006,4.1212,0.052335,0.92603,0.81972,0.006,7.1737,0.09009,0.87445,0.70016,0.006,11.49,0.1427,0.80658,0.5501,0.006,16.684,0.19925,0.74292,0.40947
0.007,1.4821,0.016914,0.97736,0.93985,0.007,4.8252,0.051009,0.93311,0.82127,0.007,8.4772,0.086486,0.88916,0.70554,0.007,13.877,0.13388,0.83661,0.56366,0.007,21.026,0.18077,0.80078,0.43549
0.008,1.694,0.016748,0.97919,0.93975,0.008,5.5321,0.049767,0.93994,0.8225,0.008,9.8,0.083155,0.90338,0.71004,0.008,16.353,0.12585,0.86578,0.57508,0.008,25.68,0.16431,0.85754,0.45708
0.009,1.9062,0.016589,0.98102,0.93961,0.009,6.2425,0.048597,0.94666,0.82346,0.009,11.141,0.080057,0.9173,0.71379,0.009,18.909,0.1185,0.89429,0.58461,0.009,30.616,0.14957,0.91351,0.47458
0.01,2.1184,0.016435,0.98279,0.93944,0.01,6.956,0.04749,0.95325,0.82419,0.01,12.499,0.077161,0.93085,0.71688,0.01,21.537,0.11173,0.92218,0.59246,0.01,35.804,0.13633,0.96881,0.48832
0.011,2.3309,0.016287,0.98456,0.93925,0.011,7.6725,0.046439,0.95972,0.82471,0.011,13.873,0.074443,0.94415,0.71937,0.011,24.233,0.10549,0.94965,0.5988,0.011,40.268,0.1244,1,0.49841
0.012,2.5436,0.016144,0.98633,0.93903,0.012,8.3921,0.045438,0.96613,0.82505,0.012,15.262,0.071882,0.95728,0.72134,0.012,26.991,0.0997,0.97668,0.60377,0.012,43.449,0.11362,1,0.50357
0.013,2.7564,0.016005,0.98804,0.93879,0.013,9.1144,0.044481,0.97241,0.82521,0.013,16.664,0.069463,0.97015,0.72282,0.013,29.706,0.094318,1,0.60751,0.013,46.499,0.10386,1,0.50425
0.014,2.9694,0.01587,0.98975,0.93853,0.014,9.8389,0.043565,0.97858,0.82522,0.014,18.079,0.067171,0.98285,0.72388,0.014,31.73,0.089301,1,0.6097,0.014,49.418,0.09501,1,0.50123
