1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.001,37.921,37.921,37.921,37.921,37.921,161.5,68.672,37.921,20.278,11.222,10.876,20.783,37.921,62.963,84.585
0.002,19.371,19.371,19.371,19.371,19.371,96.361,35.866,19.371,10.252,5.6466,5.424,10.448,19.371,33.207,47.174
0.003,13.02,13.02,13.02,13.02,13.02,68.399,24.296,13.02,6.8657,3.7752,3.5949,6.9572,13.02,22.741,33.38
0.004,9.7917,9.7917,9.7917,9.7917,9.7917,52.125,18.306,9.7917,5.1588,2.8356,2.6768,5.1976,9.7917,17.331,26.037
0.005,7.8315,7.8315,7.8315,7.8315,7.8315,41.298,14.622,7.8315,4.1287,2.27,2.1244,4.1357,7.8315,14.005,21.424
0.006,6.5124,6.5124,6.5124,6.5124,6.5124,33.534,12.118,6.5124,3.4387,1.892,1.7555,3.4246,6.5124,11.745,18.233
0.007,5.5629,5.5629,5.5629,5.5629,5.5629,27.694,10.301,5.5629,2.944,1.6215,1.4915,2.9149,5.5629,10.104,15.884
0.008,4.8462,4.8462,4.8462,4.8462,4.8462,23.155,8.9215,4.8462,2.5717,1.4182,1.2934,2.5315,4.8462,8.8572,14.075
0.009,4.2857,4.2857,4.2857,4.2857,4.2857,19.543,7.8373,4.2857,2.2814,1.2599,1.1391,2.2326,4.2857,7.8757,12.636
0.01,3.8352,3.8352,3.8352,3.8352,3.8352,16.617,6.9624,3.8352,2.0485,1.1331,1.0156,1.9931,3.8352,7.0824,11.46
0.011,3.4651,3.4651,3.4651,3.4651,3.4651,14.214,6.2415,3.4651,1.8576,1.0292,0.91455,1.7967,3.4651,6.4273,10.481
0.012,3.1555,3.1555,3.1555,3.1555,3.1555,12.219,5.6372,3.1555,1.6982,0.9425,0.83032,1.6329,3.1555,5.8768,9.6518
0.013,2.8927,2.8927,2.8927,2.8927,2.8927,10.546,5.1235,2.8927,1.563,0.86908,0.75905,1.4941,2.8927,5.4076,8.9393
0.014,2.6669,2.6669,2.6669,2.6669,2.6669,9.1346,4.6815,2.6669,1.447,0.8061,0.69797,1.3751,2.6669,5.0026,8.32
0.015,2.4706,2.4706,2.4706,2.4706,2.4706,7.9356,4.2974,2.4706,1.3463,0.75146,0.64506,1.2719,2.4706,4.6495,7.7764
0.016,2.2986,2.2986,2.2986,2.2986,2.2986,6.9118,3.9606,2.2986,1.258,0.70362,0.59878,1.1815,2.2986,4.3387,7.295
0.017,2.1465,2.1465,2.1465,2.1465,2.1465,6.0338,3.6631,2.1465,1.1801,0.66138,0.55797,1.1018,2.1465,4.0631,6.8656
0.018,2.011,2.011,2.011,2.011,2.011,5.2778,3.3985,2.011,1.1107,0.6238,0.52171,1.0309,2.011,3.817,6.48
0.019,1.8897,1.8897,1.8897,1.8897,1.8897,4.6247,3.1617,1.8897,1.0486,0.59015,0.48931,0.96744,1.8897,3.5958,6.1316
0.02,1.7804,1.7804,1.7804,1.7804,1.7804,4.0588,2.9488,1.7804,0.99257,0.55985,0.46017,0.91038,1.7804,3.3959,5.8152
0.021,1.6814,1.6814,1.6814,1.6814,1.6814,3.5671,2.7563,1.6814,0.94188,0.53242,0.43383,0.85876,1.6814,3.2144,5.5265
0.022,1.5913,1.5913,1.5913,1.5913,1.5913,3.139,2.5817,1.5913,0.89575,0.50748,0.40991,0.81187,1.5913,3.0489,5.262
0.023,1.509,1.509,1.509,1.509,1.509,2.7655,2.4226,1.509,0.8536,0.48468,0.38811,0.76908,1.509,2.8972,5.0186
0.024,1.4335,1.4335,1.4335,1.4335,1.4335,2.4389,2.2771,1.4335,0.81494,0.46378,0.36814,0.72988,1.4335,2.7579,4.794
0.025,1.3641,1.3641,1.3641,1.3641,1.3641,2.153,2.1436,1.3641,0.77935,0.44454,0.3498,0.69385,1.3641,2.6293,4.586
0.026,1.3,1.3,1.3,1.3,1.3,1.9022,2.0209,1.3,0.74647,0.42677,0.3329,0.66062,1.3,2.5104,4.3927
0.027,1.2406,1.2406,1.2406,1.2406,1.2406,1.6819,1.9077,1.2406,0.71602,0.41031,0.31727,0.62989,1.2406,2.4,4.2127
0.028,1.1855,1.1855,1.1855,1.1855,1.1855,1.4883,1.803,1.1855,0.68772,0.39502,0.30278,0.60139,1.1855,2.2973,4.0446
0.029,1.1342,1.1342,1.1342,1.1342,1.1342,1.3178,1.706,1.1342,0.66137,0.38078,0.28932,0.57489,1.1342,2.2016,3.8873
0.03,1.0863,1.0863,1.0863,1.0863,1.0863,1.1675,1.616,1.0863,0.63676,0.36749,0.27678,0.55019,1.0863,2.112,3.7398
0.031,1.0416,1.0416,1.0416,1.0416,1.0416,1.035,1.5321,1.0416,0.61373,0.35504,0.26507,0.52712,1.0416,2.0282,3.6011
0.032,0.99965,0.99965,0.99965,0.99965,0.99965,0.91803,1.454,0.99965,0.59213,0.34337,0.25411,0.50552,0.99965,1.9495,3.4705
0.033,0.9603,0.9603,0.9603,0.9603,0.9603,0.81465,1.381,0.9603,0.57184,0.33241,0.24384,0.48526,0.9603,1.8755,3.3474
0.034,0.92329,0.92329,0.92329,0.92329,0.92329,0.72324,1.3128,0.92329,0.55273,0.32208,0.23419,0.46623,0.92329,1.8058,3.231
0.035,0.88844,0.88844,0.88844,0.88844,0.88844,0.64235,1.2488,0.88844,0.53472,0.31235,0.22512,0.44832,0.88844,1.74,3.1208
0.036,0.85555,0.85555,0.85555,0.85555,0.85555,0.57074,1.1889,0.85555,0.5177,0.30315,0.21657,0.43144,0.85555,1.6779,3.0164
0.037,0.82449,0.82449,0.82449,0.82449,0.82449,0.50729,1.1325,0.82449,0.50159,0.29444,0.2085,0.4155,0.82449,1.6191,2.9174
0.038,0.79509,0.79509,0.79509,0.79509,0.79509,0.45104,1.0796,0.79509,0.48634,0.28619,0.20087,0.40043,0.79509,1.5633,2.8233
0.039,0.76724,0.76724,0.76724,0.76724,0.76724,0.40116,1.0297,0.76724,0.47186,0.27837,0.19366,0.38617,0.76724,1.5105,2.7337
0.04,0.74083,0.74083,0.74083,0.74083,0.74083,0.3569,0.98267,0.74083,0.45811,0.27093,0.18682,0.37264,0.74083,1.4602,2.6484
0.041,0.71574,0.71574,0.71574,0.71574,0.71574,0.31761,0.93831,0.71574,0.44503,0.26385,0.18033,0.35981,0.71574,1.4124,2.567
0.042,0.69189,0.69189,0.69189,0.69189,0.69189,0.28271,0.89641,0.69189,0.43257,0.25711,0.17417,0.34762,0.69189,1.3669,2.4894
0.043,0.66918,0.66918,0.66918,0.66918,0.66918,0.25171,0.8568,0.66918,0.42069,0.25068,0.16831,0.33602,0.66918,1.3236,2.4152
0.044,0.64755,0.64755,0.64755,0.64755,0.64755,0.22416,0.81932,0.64755,0.40935,0.24454,0.16274,0.32498,0.64755,1.2822,2.3442
0.045,0.62692,0.62692,0.62692,0.62692,0.62692,0.19966,0.78383,0.62692,0.39851,0.23868,0.15742,0.31445,0.62692,1.2427,2.2763
0.046,0.60722,0.60722,0.60722,0.60722,0.60722,0.17788,0.75019,0.60722,0.38815,0.23306,0.15236,0.30441,0.60722,1.2049,2.2112
0.047,0.5884,0.5884,0.5884,0.5884,0.5884,0.1585,0.71829,0.5884,0.37823,0.22769,0.14752,0.29483,0.5884,1.1688,2.1488
0.048,0.57041,0.57041,0.57041,0.57041,0.57041,0.14125,0.688,0.57041,0.36873,0.22254,0.1429,0.28567,0.57041,1.1342,2.0889
0.049,0.55319,0.55319,0.55319,0.55319,0.55319,0.1259,0.65923,0.55319,0.35961,0.21759,0.13848,0.2769,0.55319,1.1011,2.0314
0.05,0.53669,0.53669,0.53669,0.53669,0.53669,0.11224,0.63189,0.53669,0.35086,0.21285,0.13426,0.26851,0.53669,1.0693,1.9762
0.051,0.52088,0.52088,0.52088,0.52088,0.52088,0.10007,0.60589,0.52088,0.34246,0.20829,0.13021,0.26048,0.52088,1.0388,1.923
0.052,0.50572,0.50572,0.50572,0.50572,0.50572,0.089232,0.58114,0.50572,0.33438,0.2039,0.12633,0.25278,0.50572,1.0095,1.8719
0.053,0.49116,0.49116,0.49116,0.49116,0.49116,0.079577,0.55758,0.49116,0.32661,0.19968,0.12261,0.24539,0.49116,0.98134,1.8226
0.054,0.47718,0.47718,0.47718,0.47718,0.47718,0.070974,0.53513,0.47718,0.31912,0.19561,0.11903,0.23829,0.47718,0.95427,1.7752
0.055,0.46374,0.46374,0.46374,0.46374,0.46374,0.063307,0.51373,0.46374,0.31192,0.1917,0.11561,0.23148,0.46374,0.92823,1.7294
0.056,0.45082,0.45082,0.45082,0.45082,0.45082,0.056474,0.49332,0.45082,0.30497,0.18792,0.11231,0.22493,0.45082,0.90316,1.6853
0.057,0.43839,0.43839,0.43839,0.43839,0.43839,0.050382,0.47384,0.43839,0.29827,0.18427,0.10914,0.21864,0.43839,0.87901,1.6427
0.058,0.42642,0.42642,0.42642,0.42642,0.42642,0.044951,0.45525,0.42642,0.2918,0.18075,0.10609,0.21258,0.42642,0.85573,1.6016
0.059,0.41489,0.41489,0.41489,0.41489,0.41489,0.040108,0.4375,0.41489,0.28555,0.17735,0.10316,0.20674,0.41489,0.83329,1.5619
0.06,0.40378,0.40378,0.40378,0.40378,0.40378,0.035789,0.42053,0.40378,0.27952,0.17406,0.10034,0.20112,0.40378,0.81164,1.5235
0.061,0.39306,0.39306,0.39306,0.39306,0.39306,0.031937,0.40432,0.39306,0.27368,0.17088,0.097614,0.1957,0.39306,0.79074,1.4864
0.062,0.38272,0.38272,0.38272,0.38272,0.38272,0.028502,0.38881,0.38272,0.26804,0.1678,0.09499,0.19048,0.38272,0.77056,1.4504
0.063,0.37275,0.37275,0.37275,0.37275,0.37275,0.025436,0.37398,0.37275,0.26257,0.16482,0.092459,0.18544,0.37275,0.75106,1.4157
0.064,0.36311,0.36311,0.36311,0.36311,0.36311,0.022702,0.35979,0.36311,0.25728,0.16193,0.090017,0.18058,0.36311,0.73221,1.382
0.065,0.35381,0.35381,0.35381,0.35381,0.35381,0.020262,0.3462,0.35381,0.25216,0.15913,0.08766,0.17588,0.35381,0.71399,1.3494
0.066,0.34481,0.34481,0.34481,0.34481,0.34481,0.018085,0.33319,0.34481,0.24719,0.15641,0.085383,0.17135,0.34481,0.69636,1.3178
0.067,0.33611,0.33611,0.33611,0.33611,0.33611,0.016142,0.32072,0.33611,0.24238,0.15378,0.083184,0.16697,0.33611,0.6793,1.2872
0.068,0.3277,0.3277,0.3277,0.3277,0.3277,0.014409,0.30878,0.3277,0.23771,0.15122,0.081057,0.16273,0.3277,0.66278,1.2575
0.069,0.31956,0.31956,0.31956,0.31956,0.31956,0.012861,0.29733,0.31956,0.23317,0.14874,0.079001,0.15863,0.31956,0.64679,1.2287
